contract_id,vendor_id,item_name,category,contract_price,payment_terms,effective_date
CON000074,V0092,Instrumentation Hydraulic Pump Premium,Instrumentation,3225.02,Net60,2021-10-20
CON000075,V0202,Mechanical Pressure Gauge Standard,Mechanical,3020.75,Net45,2024-04-05
CON000076,V0480,Electrical Lubricant Heavy Duty,Electrical,2285.01,Net30,2022-03-01
CON000077,V0424,Instrumentation Valves Heavy Duty,Instrumentation,3178.69,Net30,2022-11-05
CON000078,V0142,Safety Transformer Oil Heavy Duty,Safety,531.18,Net60,2023-12-01
CON000079,V0226,Safety Conveyor Belt,Safety,280.62,Net15,2022-10-31
CON000080,V0007,Electrical Conveyor Belt Standard,Electrical,1377.15,Net45,2023-05-13
CON000081,V0339,Structural Lubricant,Structural,3633.69,Net45,2022-09-18
CON000082,V0198,Mechanical Fasteners Heavy Duty,Mechanical,2945.56,Net60,2022-05-28
CON000083,V0342,Fluid Conveyor Belt,Fluid,1954.15,Net30,2023-09-14
CON000084,V0329,Mechanical Circuit Breaker Heavy Duty,Mechanical,4153.67,Net30,2022-10-13
CON000085,V0114,Fluid Control Panel Premium,Fluid,2386.67,Net60,2023-03-23
CON000086,V0091,Mechanical Flow Meter,Mechanical,4489.21,Net60,2023-08-07
CON000087,V0009,Structural Valves Standard,Structural,3264.59,Net30,2022-12-15
CON000088,V0147,Instrumentation Circuit Breaker Standard,Instrumentation,2469.84,Net60,2023-10-03
CON000089,V0206,Structural Copper Wire Standard,Structural,2533.88,Net60,2024-03-26
CON000090,V0322,Instrumentation Transformer Oil Kit,Instrumentation,2205.75,Net45,2021-10-28
CON000091,V0270,Instrumentation Flow Meter Premium,Instrumentation,1548.89,Net30,2021-11-07
CON000092,V0154,Fluid Safety Helmet Premium,Fluid,140.89,Net15,2023-03-28
CON000093,V0332,Electrical Steel Rod Kit,Electrical,658.69,Net60,2023-07-05
CON000094,V0017,Safety Flow Meter Kit,Safety,347.0,Net60,2022-11-30
CON000095,V0192,Electrical Transformer Oil Kit,Electrical,2134.52,Net45,2023-08-21
CON000096,V0214,Electrical Pneumatic Cylinder Kit,Electrical,260.74,Net45,2022-07-05
CON000097,V0227,Safety Pressure Gauge Kit,Safety,376.96,Net30,2024-01-11
CON000098,V0378,Electrical Transformer Oil Standard,Electrical,404.98,Net60,2023-03-15
CON000099,,Instrumentation Safety Helmet,Instrumentation,1392.21,Net15,2022-01-18
CON000100,V0484,Structural Safety Helmet Heavy Duty,Structural,963.36,Net15,2024-10-06
CON000101,,Safety Steel Rod Standard,Safety,193.91,Net60,2023-08-07
CON000102,V0138,Electrical Gearbox Premium,Electrical,1134.19,Net45,2021-08-01
CON000103,V0430,Structural Copper Wire Standard,Structural,2495.23,Net30,2024-11-09
CON000104,V0307,Mechanical Copper Wire Heavy Duty,Mechanical,3829.56,Net30,2021-04-22
CON000105,V0325,Safety Lubricant Standard,Safety,460.96,Net15,2022-10-25
CON000106,V0045,Safety Steel Rod Standard,Safety,186.61,Net999,2021-03-26
CON000107,V0266,Mechanical Welding Rod Heavy Duty,Mechanical,896.15,Net60,2023-02-14
CON000108, V0490 ,Fluid Control Panel Premium,Fluid,2191.69,Net30,2023-08-24
CON000109,V0110,Structural Transformer Oil Kit,Structural,3050.84,Net15,2024-09-10
CON000110,V0008,Fluid Conveyor Belt Kit,Fluid,1483.23,Net15,2024-09-04
CON000111,V0428,Safety Conveyor Belt Standard,Safety,130.35,Net45,2022-03-07
CON000112,V0184,Safety Conveyor Belt,Safety,289.46,Net60,2022-02-02
CON000113,V0405,Structural PVC Pipe Heavy Duty,Structural,763.98,Net45,2022-02-22
CON000114,V0253,Instrumentation Steel Rod,Instrumentation,2972.78,Net15,2024-10-18
CON000115,V0123,Mechanical Circuit Breaker Premium,Mechanical,2856.5,Net60,2024-03-19
CON000116,V0153,Structural Copper Wire Premium,Structural,1945.53,Net15,2022-07-07
CON000117,V0283,Instrumentation Copper Wire,Instrumentation,4087.68,Net30,2022-01-03
CON000118,V0206,Electrical Steel Rod Standard,Electrical,1412.78,Net60,2024-10-30
CON000119,V0374,Mechanical Copper Wire Heavy Duty,Mechanical,3853.23,Net60,2021-05-26
CON000120,V0227,Safety Hydraulic Pump Heavy Duty,Safety,51.29,Net30,2022-08-04
CON000121,V0323,Electrical Bearing Heavy Duty,Electrical,1630.62,Net60,2021-01-04
CON000122,V0272,Electrical PVC Pipe Kit,Electrical,2076.17,Net45,2023-12-09
CON000123,V0366,Mechanical Electric Motor Standard,Mechanical,2053.83,Net45,2022-03-13
CON000124,V0190,Safety Transformer Oil Heavy Duty,Safety,475.28,Net45,2021-02-05
CON000125,V0412,Structural Flow Meter Premium,Structural,1785.96,Net45,2023-01-24
CON000126,V0494,Electrical Transformer Oil Standard,Electrical,413.74,Net15,2024-10-11
CON000127,V0499,Instrumentation Copper Wire Heavy Duty,Instrumentation,871.85,Net60,2022-02-26
CON000128,V0334,Mechanical Circuit Breaker Premium,Mechanical,2817.45,Net15,2022-12-25
CON000129,V0472,Electrical Circuit Breaker,Electrical,1617.37,Net15,2024-11-21
CON000130,V0162,Structural Safety Helmet Heavy Duty,Structural,1042.84,Net60,2022-02-04
CON000131,V0396,Safety Conveyor Belt,Safety,301.72,Net60,2023-10-08
CON000132,V0379,Mechanical Pressure Gauge Premium,Mechanical,3149.1,Net30,2021-01-14
CON000133,V0243,Structural PVC Pipe Heavy Duty,Structural,809.92,Net30,2021-01-05
CON000134,V0261,Structural Conveyor Belt Premium,Structural,382.74,Net45,2022-11-04
CON000135,V0327,Instrumentation Valves Heavy Duty,Instrumentation,3575.59,Net30,2024-05-30
CON000136,V0124,Electrical Pneumatic Cylinder Kit,Electrical,264.34,Net45,2022-07-12
CON000137,V0271,Electrical Lubricant Heavy Duty,Electrical,2652.22,Net60,2024-11-29
CON000138,V0400,Safety Transformer Oil Premium,Safety,150.2,Net45,2022-04-03
CON000139,V0336,Electrical Gearbox Kit,Electrical,1984.68,Net60,2023-09-04
CON000140,V0216,Safety Hydraulic Pump Standard,Safety,97.1,Net15,2023-07-26
CON000141,V0451,Structural Steel Rod Kit,Structural,1519.74,Net60,2021-12-16
CON000142,V0282,Fluid Steel Rod Standard,Fluid,1956.66,Net15,2021-08-17
CON000143,V0064,Structural Pressure Gauge Standard,Structural,1578.58,Net45,2021-12-30
CON000144,V0109,Instrumentation Copper Wire Heavy Duty,Instrumentation,773.58,Net15,2024-11-28
CON000145,V0005,Instrumentation Flow Meter Heavy Duty,Instrumentation,3101.6,Net15,2022-06-07
CON000146,V0306,Safety Pneumatic Cylinder,Safety,256.72,Net30,2021-12-09
CON000147,V0059,Safety Conveyor Belt Standard,Safety,144.68,Net60,2023-01-09
CON000148,V0182,Safety Conveyor Belt Standard,Safety,134.23,Net60,2021-07-25
CON000149,V0385,Instrumentation Transformer Oil Kit,Instrumentation,2100.44,Net45,2023-01-11
CON000150,V0278,Electrical Steel Rod,Electrical,927.18,Net15,2024-09-26
CON000151,V0341,Fluid Bearing Premium,Fluid,942.04,Net15,2023-11-20
CON000152,V0019,Fluid Bearing Premium,Fluid,890.69,Net30,2023-02-18
CON000153,V0179,Electrical Gearbox Premium,Electrical,1179.66,Net60,2023-03-15
CON000154,V0016,Electrical Steel Rod,Electrical,823.22,Net15,2024-08-23
CON000155,V0426,Fluid Safety Helmet Standard,Fluid,632.12,Net30,2023-06-18
CON000156,V0065,Electrical Bearing Heavy Duty,Electrical,1814.44,Net30,2024-01-28
CON000157,V0247,Mechanical Welding Rod Heavy Duty,Mechanical,852.96,Net15,2023-03-31
CON000158,V0431,Structural Hydraulic Pump Premium,Structural,440.54,Net45,2024-04-08
CON000159,V0004,Safety Conveyor Belt,Safety,294.38,Net30,2023-12-15
CON000160,V0077,Electrical Conveyor Belt Heavy Duty,Electrical,1009.36,Net45,2021-09-21
CON000161,V0354,Safety Welding Rod Kit,Safety,287.09,Net60,2024-05-24
CON000162,V0168,Structural Copper Wire Premium,Structural,2072.36,Net15,2023-03-07
CON000163,V0172,Mechanical Electric Motor Standard,Mechanical,1894.98,Net30,2024-01-24
CON000164,V0066,Fluid Conveyor Belt Kit,Fluid,1386.4,Net45,2024-06-02
CON000165,V0321,Mechanical Safety Helmet Standard,Mechanical,2630.78,Net15,2024-02-19
CON000166,V0460,Safety Transformer Oil Standard,Safety,131.0,Net15,2022-06-04
CON000167,V0068,Mechanical Pressure Gauge Standard,Mechanical,2895.13,Net60,2023-09-09
CON000168,V0185,Safety Pressure Gauge Premium,Safety,191.16,Net45,2024-07-04
CON000169,V0017,Safety Control Panel,Safety,260.37,Net60,2024-05-05
CON000170,V0421,Instrumentation Safety Helmet,Instrumentation,1385.95,Net45,2022-10-03
CON000171,V0302,Electrical Conveyor Belt Heavy Duty,Electrical,995.78,Net30,2022-04-18
CON000172,V0150,Structural Copper Wire Premium,Structural,2070.08,Net60,2024-03-15
CON000173,V0377,Structural Hydraulic Pump Premium,Structural,472.04,Net15,2022-04-13
CON000174,V0394,Fluid Pneumatic Cylinder,Fluid,2168.78,Net30,2024-12-19
CON000175,V0406,Safety Welding Rod Kit,Safety,314.15,Net60,2024-04-18
CON000176,V0451,Instrumentation Bearing,Instrumentation,2923.92,Net60,2023-06-07
CON000177,V0283,Instrumentation Bearing Premium,Instrumentation,2683.73,Net30,2022-12-20
CON000178,V0332,Electrical Bearing Heavy Duty,Electrical,1801.08,Net60,2022-08-01
CON000179,V0171,Fluid Lubricant Standard,Fluid,254.59,Net15,2024-08-26
CON000180,V0211,Fluid Safety Helmet Premium,Fluid,129.18,Net60,2023-04-27
CON000181,V0403,Safety Control Panel Heavy Duty,Safety,518.41,Net45,2022-04-02
CON000182,V0014,Structural Flow Meter Premium,Structural,1674.47,Net30,2021-03-28
CON000183,V0217,Fluid Steel Rod Standard,Fluid,2231.83,Net15,2021-09-09
CON000184,V0489,Electrical Pneumatic Cylinder Kit,Electrical,281.31,Net15,2024-10-06
CON000185,V0111,Structural Steel Rod Kit,Structural,1502.1,Net60,2024-02-01
CON000186,V0271,Electrical Copper Wire Premium,Electrical,1306.16,Net60,2024-10-18
CON000187,V0020,Safety Transformer Oil Premium,Safety,144.68,Net60,2021-08-22
CON000188,V0458,Instrumentation Transformer Oil Kit,Instrumentation,1973.01,Net30,2024-08-27
CON000189,V0367,Safety Conveyor Belt Standard,Safety,126.68,Net45,2023-05-24
CON000190,V0276,Electrical Safety Helmet Kit,Electrical,1391.36,Net60,2022-06-06
CON000191,V0050,Mechanical PVC Pipe Premium,Mechanical,1469.39,Net45,2022-07-22
CON000192,V0254,Mechanical Electric Motor Premium,Mechanical,964.84,Net15,2022-11-09
CON000193,V0226,Mechanical Pressure Gauge Standard,Mechanical,2872.77,Net15,2023-05-04
CON000194,V0118,Structural Hydraulic Pump Premium,Structural,464.43,Net15,2022-04-14
CON000195,V0095,Instrumentation Bearing,Instrumentation,2747.52,Net30,2024-10-01
CON000196,V0217,Electrical Transformer Oil Kit,Electrical,2172.82,Net15,2024-01-25
CON000197,V0389,Structural Hydraulic Pump Premium,Structural,433.98,Net45,2021-04-26
CON000198,V0477,Mechanical Flow Meter Premium,Mechanical,2344.18,Net15,2024-08-07
CON000199,V0376,Electrical Circuit Breaker,Electrical,1853.77,Net45,2022-01-20
CON000200,V0482,Safety Pressure Gauge Premium,Safety,195.66,Net30,2024-03-16
CON000201,V0111,Mechanical Flow Meter,Mechanical,3991.14,Net60,2022-01-29
CON000202,V0329,Instrumentation Electric Motor Premium,Instrumentation,2899.02,Net30,2024-03-18
CON000203,V0233,Mechanical Conveyor Belt,Mechanical,3253.32,Net15,2022-04-24
CON000204,V0237,Mechanical Welding Rod Heavy Duty,Mechanical,786.83,Net60,2024-10-10
CON000205,V0033,Structural Copper Wire Standard,Structural,2825.24,Net30,2021-03-01
CON000206,V0246,Mechanical Electric Motor Premium,Mechanical,1012.57,Net45,2021-11-08
CON000207,V0174,Structural Transformer Oil,Structural,549.02,Net30,2023-12-11
CON000208,V0438,Instrumentation Flow Meter Premium,Instrumentation,1368.91,Net45,2024-08-19
CON000209,V0002,Electrical Lubricant Heavy Duty,Electrical,2509.78,Net45,2023-01-06
CON000210,V0156,Electrical Gearbox Premium,Electrical,1193.8,Net15,2023-05-16
CON000211,V0435,Electrical Conveyor Belt Standard,Electrical,1407.46,Net45,2023-02-26
CON000212,V0275,Electrical PVC Pipe Kit,Electrical,2204.23,Net60,2023-02-03
CON000213,V0182,Mechanical Circuit Breaker Heavy Duty,Mechanical,3893.75,Net60,2021-03-16
CON000214,V0262,Fluid Bearing Premium,Fluid,937.85,Net45,2024-12-16
CON000215,V0466,Instrumentation Hydraulic Pump Premium,Instrumentation,3320.38,Net30,2022-09-04
CON000216,V0073,Mechanical Fasteners Premium,Mechanical,3598.33,Net15,2023-01-03
CON000217,V0149,Fluid Pneumatic Cylinder,Fluid,2069.68,Net30,2021-01-09
CON000218,V0422,Electrical Safety Helmet Kit,Electrical,1566.74,Net999,2023-11-21
CON000219,V0383,Mechanical Safety Helmet Standard,Mechanical,2540.17,Net30,2021-11-01
CON000220,V0412,Electrical Lubricant Heavy Duty,Electrical,2480.59,Net45,2021-01-13
CON000221,V0130,Mechanical Pressure Gauge Standard,Mechanical,2732.55,Net60,2022-11-16
CON000222,V0095,Fluid Conveyor Belt Kit,Fluid,1341.31,Net30,2024-09-09
CON000223,V0465,Structural Copper Wire Premium,Structural,1897.23,Net60,2023-07-17
CON000224,V0097,Fluid Lubricant Standard,Fluid,286.53,Net60,2021-02-13
CON000225,V0097,Mechanical Welding Rod Heavy Duty,Mechanical,908.51,Net60,2022-05-02
CON000226,V0310,Safety Pneumatic Cylinder,Safety,236.34,Net30,2024-01-25
CON000227,V0235,Fluid Conveyor Belt Kit,Fluid,1420.68,Net15,2024-09-01
CON000228,V0210,Safety Control Panel,Safety,271.46,Net15,2024-07-09
CON000229,V0239,Safety Transformer Oil Premium,Safety,147.06,Net45,2021-11-04
CON000230,V0384,Structural Steel Rod Kit,Structural,1567.9,Net30,2022-01-12
CON000231,V0243,Electrical Conveyor Belt Heavy Duty,Electrical,992.8,Net30,2022-02-23
CON000232,V0479,Fluid Safety Helmet Kit,Fluid,1523.3,Net30,2022-09-23
CON000233,V0277,Mechanical Safety Helmet Standard,Mechanical,2619.98,Net45,2021-04-11
CON000234,V0353,Mechanical Pressure Gauge Standard,Mechanical,2886.48,Net15,2021-02-27
CON000235,V0221,Structural Conveyor Belt Premium,Structural,382.87,Net30,2021-04-09
CON000236, V0105 ,Safety Conveyor Belt,Safety,286.02,Net45,2021-12-02
CON000237,,Fluid Pneumatic Cylinder,Fluid,1977.2,Net15,2023-10-26
CON000238,V0063,Electrical PVC Pipe Kit,Electrical,2261.94,Net45,2021-07-02
CON000239, V0349 ,Safety Lubricant Standard,Safety,499.67,Net30,2022-01-24
CON000240,V0250,Fluid Control Panel Premium,Fluid,2133.18,Net45,2023-03-18
CON000241,V0324,Structural Lubricant,Structural,3697.01,Net60,2024-04-22
CON000242,V0481,Electrical Pneumatic Cylinder Kit,Electrical,294.49,Net60,2024-02-18
CON000243,V0483,Instrumentation Hydraulic Pump Premium,Instrumentation,3114.15,Net60,2021-03-14
CON000244,V0073,Instrumentation Bearing Premium,Instrumentation,2911.41,Net15,2022-04-25
CON000245,V0207,Safety Transformer Oil Heavy Duty,Safety,479.36,Net60,2022-06-10
CON000246,V0364,Electrical Circuit Breaker,Electrical,1715.63,Net15,2021-12-16
CON000247,V0200,Safety Conveyor Belt,Safety,293.68,Net45,2023-09-05
CON000248,V0495,Mechanical Safety Helmet Standard,Mechanical,2539.09,Net15,2022-05-20
CON000249, V0419 ,Mechanical Circuit Breaker Premium,Mechanical,3009.77,Net30,2024-04-19
CON000250,V0036,Mechanical Copper Wire Heavy Duty,Mechanical,3735.52,Net30,2022-12-02
CON000251,V0124,Instrumentation Flow Meter Heavy Duty,Instrumentation,3049.6,Net45,2023-07-27
CON000252,V0109,Fluid Conveyor Belt,Fluid,2235.59,Net15,2023-09-12
CON000253,V0480,Safety Hydraulic Pump Standard,Safety,107.23,Net30,2024-04-25
CON000254,V0226,Safety Lubricant Standard,Safety,495.99,Net15,2022-08-10
CON000255,V0110,Mechanical Pressure Gauge Standard,Mechanical,3108.77,Net15,2021-03-07
CON000256,V0349,Electrical Steel Rod Kit,Electrical,619.3,Net30,2021-05-26
CON000257,V0275,Structural Bearing,Structural,1894.74,Net60,2023-03-21
CON000258,V0078,Structural Bearing Kit,Structural,1551.65,Net30,2022-02-12
CON000259,V0488,Structural Lubricant,Structural,3733.21,Net15,2022-07-09
CON000260,V0233,Electrical Steel Rod Standard,Electrical,1563.47,Net15,2021-10-06
CON000261,V0467,Electrical Steel Rod,Electrical,904.82,Net30,2024-03-24
CON000262,V0044,Safety Conveyor Belt,Safety,296.31,Net45,2021-03-05
CON000263,V0244,Fluid Safety Helmet Premium,Fluid,131.37,Net60,2024-02-07
CON000264,V0006,Electrical Bearing Heavy Duty,Electrical,1749.96,Net30,2024-12-22
CON000265,V0443,Mechanical Pressure Gauge Standard,Mechanical,2852.34,Net30,2023-08-03
CON000266,V0126,Fluid Lubricant Standard,Fluid,286.64,Net30,2024-02-27
CON000267,V0029,Instrumentation Flow Meter Premium,Instrumentation,1542.33,Net30,2021-11-26
CON000268,V0435,Instrumentation Flow Meter Heavy Duty,Instrumentation,2789.96,Net45,2021-02-11
CON000269,V0379,Mechanical Fasteners Premium,Mechanical,3711.3,Net30,2021-07-25
CON000270,V0190,Safety Welding Rod Kit,Safety,298.3,Net45,2023-02-21
CON000271,V0383,Structural Copper Wire Standard,Structural,2620.07,Net30,2022-12-03
CON000272,V0355,Fluid Safety Helmet Premium,Fluid,131.88,Net60,2023-04-20
CON000273,V0346,Electrical Steel Rod Kit,Electrical,586.21,Net45,2021-02-13
CON000274,V0171,Electrical PVC Pipe Kit,Electrical,2188.59,Net15,2022-04-15
CON000275,V0279,Instrumentation Flow Meter Heavy Duty,Instrumentation,2784.09,Net15,2022-11-28
CON000276, V0336 ,Structural PVC Pipe Heavy Duty,Structural,810.44,Net60,2022-03-03
CON000277,V0205,Electrical Gearbox Premium,Electrical,1197.21,Net30,2022-07-20
CON000278,V0479,Electrical Conveyor Belt Heavy Duty,Electrical,964.05,Net30,2021-01-08
CON000279,V0450,Safety Transformer Oil Kit,Safety,472.71,Net15,2024-01-17
CON000280,V0006,Mechanical Pressure Gauge Premium,Mechanical,3054.2,Net30,2021-09-01
CON000281,V0113,Safety Transformer Oil Kit,Safety,480.8,Net15,2024-09-18
CON000282,V0378,Fluid Pneumatic Cylinder,Fluid,2106.76,Net60,2023-06-17
CON000283,V0489,Mechanical Electric Motor Standard,Mechanical,1973.4,Net15,2022-10-12
CON000284,V0080,Electrical Steel Rod Kit,Electrical,624.93,Net15,2021-06-20
CON000285,V0268,Instrumentation Valves Heavy Duty,Instrumentation,3652.52,Net60,2022-07-06
CON000286, V0292 ,Structural Bearing Kit,Structural,1629.01,Net999,2022-09-22
CON000287,V0472,Safety Lubricant Kit,Safety,523.4,Net15,2022-03-26
CON000288,V0262,Fluid Pneumatic Cylinder,Fluid,2091.99,Net45,2021-09-03
CON000289,V0284,Electrical Safety Helmet Kit,Electrical,1397.42,Net45,2021-10-15
CON000290,V0451,Safety Flow Meter Kit,Safety,325.02,Net60,2024-01-07
CON000291,V0300,Electrical Copper Wire Premium,Electrical,1169.6,Net30,2023-06-23
CON000292,V0305,Mechanical Flow Meter,Mechanical,3946.02,Net60,2023-12-01
CON000293,V0190,Structural Conveyor Belt Standard,Structural,1824.46,Net45,2022-11-21
CON000294,V0445,Fluid Safety Helmet Premium,Fluid,128.84,Net15,2025-13-45
CON000295,V0435,Electrical Bearing Heavy Duty,Electrical,1835.72,Net45,2023-04-22
CON000296,V0404,Fluid Bearing Premium,Fluid,909.68,Net30,2022-09-11
CON000297,V0029,Electrical Steel Rod,Electrical,951.32,Net30,2022-07-17
CON000298,V0133,Instrumentation Circuit Breaker Standard,Instrumentation,2235.56,Net45,2024-05-31
CON000299,V0308,Structural Steel Rod Kit,Structural,1619.83,Net30,2021-06-05
CON000300,V0145,Structural Pressure Gauge Standard,Structural,1604.61,Net60,2022-02-15
CON000301,,Structural Copper Wire Standard,Structural,2662.93,Net30,2022-01-13
CON000302,V0205,Instrumentation Electric Motor Premium,Instrumentation,2802.44,Net30,2021-09-20
CON000303,V0385,Structural Copper Wire Standard,Structural,2601.52,Net45,2022-10-01
CON000304,V0181,Electrical Safety Helmet Kit,Electrical,1448.15,Net60,2021-02-02
CON000305,V0167,Mechanical Copper Wire Heavy Duty,Mechanical,3693.89,Net15,2022-08-19
CON000306,V0253,Structural Transformer Oil Kit,Structural,3047.63,Net15,2023-09-08
CON000307,V0063,Instrumentation Copper Wire Heavy Duty,Instrumentation,850.23,Net45,2024-07-28
CON000308,V0244,Structural Flow Meter Premium,Structural,1790.94,Net60,2024-05-11
CON000309,V0468,Electrical Conveyor Belt,Electrical,1889.26,Net30,2022-10-30
CON000310,V0095,Structural Bearing Kit,Structural,1572.36,Net30,2023-03-02
CON000311,V0165,Instrumentation Fasteners,Instrumentation,2005.21,Net15,2022-06-19
CON000312,V0409,Electrical Lubricant Heavy Duty,Electrical,2439.36,Net60,2023-01-26
CON000313,V0022,Structural Hydraulic Pump Premium,Structural,430.19,Net15,2021-05-05
