po_id,vendor_id,item_name,quantity,po_date,region
PO000157,V0352,Safety Pressure Gauge Premium,219.0,2023-10-11 00:00:00,south
PO000158,V0275,Electrical Conveyor Belt,144.0,2025-07-07 00:00:00,South
PO000159,V0005,Structural Copper Wire Standard,103.0,2024-09-26 00:00:00,South
PO000160,V0163,Safety Conveyor Belt Standard,256.0,2025-01-13 00:00:00,North
PO000161,V0252,Safety Gearbox Premium,,2022-03-15 00:00:00,North
PO000162,V0046,Safety Pressure Gauge Premium,358.0,2025-06-18 00:00:00,Central
PO000163,V0176,Electrical Conveyor Belt,66.0,2022-05-21 00:00:00,East
PO000164,V0018,Safety Hydraulic Pump Standard,131.0,2023-04-26 00:00:00,central
PO000165,V0042,Mechanical Pressure Gauge Premium,383.0,2025-07-16 00:00:00,Central
PO000166,V0196,Mechanical Circuit Breaker Heavy Duty,100.0,2025-11-02 00:00:00,Central
PO000167,V0070,Mechanical Conveyor Belt,251.0,2023-08-12 00:00:00,South
PO000168,V0280,Safety Steel Rod Standard,466.0,2023-04-11 00:00:00,East
PO000169,V0345,Instrumentation Flow Meter Premium,232.0,2022-07-05 00:00:00,East
PO000170,V0401,Fluid Bearing Premium,167.0,2024-06-07 00:00:00,South
PO000171,V0102,Electrical Steel Rod Standard,492.0,2022-07-21 00:00:00,Central
PO000172,V0087,Safety Hydraulic Pump Heavy Duty,464.0,2025-07-21 00:00:00,East
PO000173,V0054,Mechanical PVC Pipe Premium,9.0,2025-12-12 00:00:00,Central
PO000174,V0319,Structural Gearbox Heavy Duty,378.0,2022-07-25 00:00:00,East
PO000175,V0353,Mechanical Pressure Gauge Standard,22.0,2024-06-27 00:00:00,East
PO000176,V0016,Instrumentation Bearing,267.0,2022-12-07 00:00:00,South
PO000177,V0470,Electrical Pneumatic Cylinder Kit,400.0,2025-11-22 00:00:00,Central
,V0029,Structural Copper Wire Premium,342.0,2023-09-06 00:00:00,South
PO000179,V0266,Safety Lubricant Kit,392.0,2022-03-01 00:00:00,east
PO000180,V0355,Fluid Conveyor Belt,455.0,2022-04-05 00:00:00,Central
PO000181,V0440,Structural Bearing Kit,129.0,2023-10-27 00:00:00,Central
PO000182,V0357,Fluid Flow Meter Kit,35.0,2022-04-25 00:00:00,East
PO000183,V0402,Fluid Control Panel Premium,302.0,2023-08-24 00:00:00,South
PO000184,V0169,Instrumentation Copper Wire,497.0,2024-01-05 00:00:00,North
PO000185,V0409,Fluid Safety Helmet Kit,139.0,2024-02-07 00:00:00,west
PO000186,V0042,Safety Hydraulic Pump Heavy Duty,197.0,2024-06-01 00:00:00,Central
PO000187,V0451,Fluid Lubricant Standard,138.0,2022-10-26 00:00:00,North
PO000188,V0269,Instrumentation Hydraulic Pump Premium,285.0,2023-05-16 00:00:00,West
PO000189,V0411,Electrical Steel Rod Kit,102.0,2024-12-23 00:00:00,East
PO000190,V0224,Safety Pressure Gauge Premium,336.0,2024-04-23 00:00:00,West
PO000191,V0322,Structural Transformer Oil Kit,364.0,2025-03-05 00:00:00,West
PO000192,V0256,Fluid Steel Rod Standard,295.0,2024-99-99,West
PO000193,V0366,Safety Control Panel Kit,109.0,2023-01-04 00:00:00,East
PO000194,V0043,Fluid Pneumatic Cylinder,215.0,2022-12-15 00:00:00,East
PO000195,V0033,Safety Steel Rod Standard,325.0,2022-12-25 00:00:00,South
PO000196,V0127,Fluid Safety Helmet Kit,481.0,2022-06-11 00:00:00,East
PO000197,V0082,Electrical Lubricant Heavy Duty,48.0,2025-06-02 00:00:00,South
PO000198,V0440,Fluid Conveyor Belt,126.0,2024-02-23 00:00:00,Central
PO000199,V0112,Safety Transformer Oil Standard,459.0,2025-06-23 00:00:00,Central
PO000200,V0491,Safety Pressure Gauge Kit,377.0,2025-10-31 00:00:00,West
PO000201,V0168,Instrumentation Electric Motor Premium,437.0,2023-05-09 00:00:00,West
PO000202,V0095,Structural Transformer Oil Kit,87.0,2024-10-16 00:00:00,West
PO000203, V0395 ,Structural Steel Rod Kit,377.0,2025-04-09 00:00:00,South
PO000204,V0330,Fluid Control Panel Premium,439.0,2022-10-21 00:00:00,East
PO000205,V0246,Structural Lubricant,252.0,2023-04-21 00:00:00,North
PO000206,V0272,Safety Control Panel Kit,229.0,2024-08-02 00:00:00,South
PO000207,V0360,Mechanical Fasteners Premium,330.0,2025-07-30 00:00:00,Central
PO000208,V0117,Mechanical Welding Rod Heavy Duty,242.0,2023-06-05 00:00:00,south
PO000209,V0498,Structural Conveyor Belt Premium,312.0,2024-07-30 00:00:00,south
PO000210,V0490,Safety Hydraulic Pump Standard,198.0,2023-06-07 00:00:00,South
PO000211,V0326,Electrical Gearbox Premium,253.0,2025-09-27 00:00:00,North
PO000212,V0102,Structural Conveyor Belt Standard,285.0,2022-01-20 00:00:00,Central
PO000213,V0341,Mechanical Flow Meter Premium,491.0,2024-08-10 00:00:00,Central
PO000214,V0038,Mechanical Welding Rod Heavy Duty,35.0,2023-08-13 00:00:00,West
PO000215,V0016,Safety Lubricant Standard,469.0,2025-10-19 00:00:00,south
PO000216,V0130,Fluid Flow Meter Kit,164.0,2025-01-24 00:00:00,North
PO000217,V0230,Fluid Safety Helmet Standard,29.0,2022-11-20 00:00:00,North
PO000218,V0439,Electrical Copper Wire Premium,255.0,2022-06-01 00:00:00,south
PO000219,V0363,Electrical PVC Pipe Premium,27.0,2024-06-23 00:00:00,North
PO000220,V0374,Instrumentation Electric Motor Premium,307.0,2023-12-09 00:00:00,Central
PO000221,V0213,Electrical Steel Rod,311.0,2025-04-18 00:00:00,Central
PO000222,V0173,Safety Control Panel Kit,231.0,2023-09-05 00:00:00,West
PO000223,V0185,Mechanical Pressure Gauge Premium,253.0,2025-08-01 00:00:00,east
PO000224,,Instrumentation Bearing,485.0,2024-05-18 00:00:00,West
PO000225,V0021,Safety Steel Rod Standard,93.0,2025-11-14 00:00:00,South
PO000226,V0438,Safety Hydraulic Pump Heavy Duty,278.0,2023-05-28 00:00:00,East
PO000227,V0287,Instrumentation Hydraulic Pump Premium,352.0,2024-07-24 00:00:00,South
PO000228,V0220,Fluid Safety Helmet Kit,158.0,2023-09-11 00:00:00,West
PO000229,V0362,Safety Hydraulic Pump Heavy Duty,238.0,2023-02-12 00:00:00,East
PO000230,V0241,Structural Copper Wire Standard,98.0,2024-02-27 00:00:00,West
PO000231,V0441,Instrumentation Fasteners,304.0,2024-09-16 00:00:00,East
PO000232,V0454,Mechanical Flow Meter Premium,303.0,2022-08-07 00:00:00,South
PO000233,V0211,Instrumentation Copper Wire,200.0,2023-05-01 00:00:00,West
PO000234,V0138,Fluid Lubricant Standard,135.0,2024-02-21 00:00:00,West
PO000235,V0294,Electrical Steel Rod Kit,13.0,2025-03-17 00:00:00,North
PO000236,V0459,Instrumentation Copper Wire,203.0,2024-01-06 00:00:00,Central
PO000237,V0108,Fluid Flow Meter Kit,123.0,2025-03-23 00:00:00,West
PO000238,V0312,Structural Transformer Oil Kit,110.0,2023-08-29 00:00:00,East
PO000239,V0316,Fluid Lubricant Standard,230.0,2025-12-03 00:00:00,South
PO000240,V0367,Safety Gearbox Premium,341.0,2023-08-28 00:00:00,North
PO000241,V0070,Electrical Conveyor Belt,326.0,2022-02-14 00:00:00,South
PO000242,V0358,Structural Lubricant,364.0,2025-09-10 00:00:00,South
PO000243,V0458,Instrumentation Flow Meter Premium,408.0,2024-03-21 00:00:00,North
PO000244,V0093,Mechanical Welding Rod Heavy Duty,486.0,2023-07-17 00:00:00,East
PO000245,V0123,Safety Welding Rod Kit,193.0,2022-01-17 00:00:00,West
PO000246,V0488,Structural Lubricant,176.0,2025-03-05 00:00:00,East
PO000247,,Structural Steel Rod Kit,167.0,2025-11-05 00:00:00,South
PO000248, V0431 ,Electrical Steel Rod,191.0,2022-04-11 00:00:00,East
PO000249,V0243,Fluid Safety Helmet Standard,450.0,2025-05-26 00:00:00,East
PO000250,V0127,Fluid Lubricant Standard,283.0,2024-10-14 00:00:00,East
PO000251,V0440,Safety Steel Rod Standard,285.0,2023-08-10 00:00:00,Central
PO000252,V0222,Safety Pneumatic Cylinder,23.0,2023-04-17 00:00:00,North
PO000253,V0251,Instrumentation Bearing Premium,62.0,2025-05-28 00:00:00,Central
PO000254,V0179,Fluid Safety Helmet Standard,489.0,2023-12-23 00:00:00,West
PO000255,V0294,Safety Pneumatic Cylinder Kit,462.0,2023-03-25 00:00:00,North
PO000256,V0085,Structural Conveyor Belt Standard,188.0,2025-07-27 00:00:00,south
PO000257,V0193,Instrumentation Pneumatic Cylinder Premium,433.0,2023-01-25 00:00:00,East
PO000258,V0487,Electrical Conveyor Belt,191.0,2025-06-25 00:00:00,North
PO000259,V0130,Fluid Safety Helmet Standard,,2023-05-29 00:00:00,North
PO000260,V0329,Fluid Safety Helmet Kit,142.0,2025-10-20 00:00:00,Central
PO000261, V0162 ,Mechanical Circuit Breaker Heavy Duty,327.0,2025-09-12 00:00:00,South
PO000262,V0387,Electrical Pneumatic Cylinder Kit,205.0,2025-10-26 00:00:00,West
PO000263,V0069,Electrical PVC Pipe Kit,248.0,2022-10-08 00:00:00,East
PO000264,V0487,Safety Transformer Oil Kit,251.0,2025-07-10 00:00:00,North
PO000265,V0226,Mechanical Flow Meter,184.0,2022-07-18 00:00:00,West
PO000266,V0122,Instrumentation Valves Heavy Duty,142.0,2025-07-09 00:00:00,West
PO000267,V0039,Structural Hydraulic Pump Premium,145.0,2025-08-16 00:00:00,North
PO000268,V0089,Mechanical Flow Meter,161.0,2022-03-22 00:00:00,East
PO000269,V0253,Safety Transformer Oil Standard,412.0,2023-09-25 00:00:00,North
PO000270,V0168,Safety Gearbox Premium,102.0,2024-06-21 00:00:00,West
PO000271,V0416,Instrumentation Bearing,483.0,2022-03-10 00:00:00,West
PO000272,V0216,Safety Hydraulic Pump Heavy Duty,97.0,2025-04-01 00:00:00,Central
PO000273,V0128,Mechanical Copper Wire Heavy Duty,385.0,2024-01-18 00:00:00,Central
PO000274,V0308,Safety Transformer Oil Heavy Duty,289.0,2022-09-27 00:00:00,Central
PO000275,V0353,Fluid Bearing Premium,366.0,2022-07-04 00:00:00,East
PO000276,V0087,Safety Lubricant Standard,24.0,2023-08-28 00:00:00,East
PO000277,V0088,Fluid Conveyor Belt,250.0,2023-11-01 00:00:00,West
PO000278,V0020,Fluid Safety Helmet Premium,492.0,2024-04-30 00:00:00,Central
PO000279,V0368,Structural Transformer Oil,126.0,2022-12-26 00:00:00,North
PO000280,V0334,Instrumentation Bearing Premium,310.0,2023-02-16 00:00:00,South
PO000281,V0236,Electrical Steel Rod Standard,271.0,2022-09-28 00:00:00,South
PO000282,V0425,Structural Pressure Gauge Standard,335.0,2025-01-09 00:00:00,South
PO000283,V0404,Electrical Conveyor Belt Heavy Duty,5.0,2024-01-20 00:00:00,South
PO000284,V0290,Fluid Lubricant Standard,101.0,2024-12-23 00:00:00,North
PO000285,V0439,Instrumentation Circuit Breaker Standard,271.0,2024-10-24 00:00:00,South
PO000286,V0106,Electrical Gearbox Premium,106.0,2023-07-13 00:00:00,West
PO000287,V0058,Mechanical Fasteners Premium,,2022-12-03 00:00:00,South
PO000288,V0135,Safety Lubricant Standard,220.0,2023-06-11 00:00:00,east
PO000289,V0031,Instrumentation Copper Wire,115.0,2024-09-13 00:00:00,East
PO000290,V0258,Mechanical Flow Meter,65.0,2023-08-28 00:00:00,west
PO000291,V0470,Instrumentation Transformer Oil Kit,432.0,2023-11-25 00:00:00,Central
PO000292,V0021,Structural Transformer Oil Kit,415.0,2022-08-24 00:00:00,South
PO000293,V0064,Safety Steel Rod Standard,70.0,2024-08-17 00:00:00,east
PO000294,V0224,Instrumentation Bearing Premium,162.0,2022-06-04 00:00:00,West
PO000295,V0469,Safety Conveyor Belt Standard,191.0,2022-10-16 00:00:00,East
PO000296,V0157,Safety Lubricant Standard,70.0,2023-04-08 00:00:00,West
PO000297,V0249,Electrical Conveyor Belt Heavy Duty,441.0,2025-10-17 00:00:00,north
PO000298,V0023,Mechanical Fasteners Premium,301.0,2025-10-13 00:00:00,West
PO000299,V0075,Instrumentation Valves Heavy Duty,235.0,2024-03-24 00:00:00,Central
PO000300,V0495,Electrical Steel Rod Kit,361.0,2025-02-15 00:00:00,West
PO000301,V0485,Structural Pressure Gauge Standard,,2024-01-20 00:00:00,West
PO000302,V0003,Safety Flow Meter Kit,83.0,2022-07-04 00:00:00,East
PO000303,V0477,Structural Bearing Kit,203.0,2024-03-19 00:00:00,South
PO000304,V0320,Fluid Safety Helmet Premium,107.0,2022-01-29 00:00:00,North
PO000305,V0439,Mechanical Circuit Breaker Premium,382.0,2023-06-26 00:00:00,South
PO000306,V0227,Structural Safety Helmet Heavy Duty,251.0,2025-01-03 00:00:00,West
PO000307,V0251,Mechanical Safety Helmet Standard,25.0,2022-09-11 00:00:00,Central
PO000308,V0242,Structural PVC Pipe Heavy Duty,294.0,2024-07-20 00:00:00,South
PO000309,V0335,Instrumentation Industrial Paint Heavy Duty,357.0,2024-01-25 00:00:00,east
PO000310,V0072,Mechanical Circuit Breaker Premium,286.0,2025-10-09 00:00:00,North
PO000311,V0016,Safety Transformer Oil Kit,232.0,2025-10-08 00:00:00,South
,V0154,Safety Transformer Oil Standard,8.0,2023-06-21 00:00:00,North
PO000313,,Safety Conveyor Belt Standard,468.0,2025-04-12 00:00:00,East
PO000314,V0103,Electrical PVC Pipe Kit,114.0,2024-02-20 00:00:00,Central
PO000315,V0339,Structural Transformer Oil Kit,,2025-07-31 00:00:00,Central
PO000316,V0487,Electrical Conveyor Belt Standard,67.0,2024-01-31 00:00:00,North
PO000317,V0048,Electrical Steel Rod Standard,348.0,2022-08-10 00:00:00,West
PO000318,V0338,Instrumentation Bearing,130.0,2025-10-14 00:00:00,west
PO000319,V0221,Electrical Circuit Breaker,176.0,2023-04-24 00:00:00,South
PO000320,V0439,Instrumentation Hydraulic Pump Premium,229.0,2024-08-23 00:00:00,South
PO000321,V0092,Instrumentation Safety Helmet,218.0,2022-02-21 00:00:00,Central
PO000322,V0346,Structural Gearbox Heavy Duty,423.0,2025-06-22 00:00:00,North
PO000323,V0422,Structural Bearing,442.0,2025-02-23 00:00:00,South
PO000324,V0473,Mechanical Fasteners Premium,123.0,2023-11-03 00:00:00,East
PO000325,V0341,Fluid Conveyor Belt,3.0,2025-06-03 00:00:00,Central
PO000326,V0246,Instrumentation Fasteners,38.0,2023-03-30 00:00:00,North
PO000327,V0309,Instrumentation Transformer Oil Kit,310.0,2025-08-19 00:00:00,East
